game_id,active,date,hour,team_id,opponent_id,favored_id
15235526,1,2026-04-18,18:30:00,7,5,7
15235526,1,2026-04-18,18:30:00,7,5,7
15235526,1,2026-04-18,18:30:00,7,5,7
15235526,1,2026-04-18,18:30:00,7,5,7
15235526,1,2026-04-18,18:30:00,7,5,5
15235526,1,2026-04-18,18:30:00,7,5,5
15235526,1,2026-04-18,18:30:00,7,5,5
15235526,1,2026-04-18,18:30:00,7,5,5
15235520,1,2026-04-18,18:30:00,19,18,19
15235520,1,2026-04-18,18:30:00,19,18,19
15235520,1,2026-04-18,18:30:00,19,18,19
15235520,1,2026-04-18,18:30:00,19,18,19
15235520,1,2026-04-18,18:30:00,19,18,19
15235520,1,2026-04-18,18:30:00,19,18,19
15235520,1,2026-04-18,18:30:00,19,18,18
15235520,1,2026-04-18,18:30:00,19,18,18
15235520,1,2026-04-18,18:30:00,19,18,18
15235520,1,2026-04-18,18:30:00,19,18,18
15235520,1,2026-04-18,18:30:00,19,18,18
15235525,1,2026-04-18,20:00:00,20,8,20
15235525,1,2026-04-18,20:00:00,20,8,20
15235525,1,2026-04-18,20:00:00,20,8,20
15235525,1,2026-04-18,20:00:00,20,8,20
15235525,1,2026-04-18,20:00:00,20,8,8
15235525,1,2026-04-18,20:00:00,20,8,8
15235528,1,2026-04-18,20:30:00,10,1,10
15235528,1,2026-04-18,20:30:00,10,1,10
15235528,1,2026-04-18,20:30:00,10,1,10
15235528,1,2026-04-18,20:30:00,10,1,10
15235528,1,2026-04-18,20:30:00,10,1,1
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,13
15235523,1,2026-04-19,11:00:00,13,14,14
15235523,1,2026-04-19,11:00:00,13,14,14
15235524,1,2026-04-19,16:00:00,9,2,9
15235524,1,2026-04-19,16:00:00,9,2,9
15235524,1,2026-04-19,16:00:00,9,2,2
15235524,1,2026-04-19,16:00:00,9,2,2
15235524,1,2026-04-19,16:00:00,9,2,2
15235524,1,2026-04-19,16:00:00,9,2,2
15235524,1,2026-04-19,16:00:00,9,2,2
15235524,1,2026-04-19,16:00:00,9,2,2
15235524,1,2026-04-19,16:00:00,9,2,2
15235524,1,2026-04-19,16:00:00,9,2,2
15235522,1,2026-04-19,16:00:00,17,12,17
15235522,1,2026-04-19,16:00:00,17,12,17
15235522,1,2026-04-19,16:00:00,17,12,17
15235522,1,2026-04-19,16:00:00,17,12,17
15235522,1,2026-04-19,16:00:00,17,12,17
15235522,1,2026-04-19,16:00:00,17,12,17
15235522,1,2026-04-19,16:00:00,17,12,12
15235522,1,2026-04-19,16:00:00,17,12,12
15235522,1,2026-04-19,16:00:00,17,12,12
15235522,1,2026-04-19,16:00:00,17,12,12
15235550,1,2026-04-19,18:30:00,15,3,15
15235550,1,2026-04-19,18:30:00,15,3,15
15235550,1,2026-04-19,18:30:00,15,3,15
15235550,1,2026-04-19,18:30:00,15,3,15
15235550,1,2026-04-19,18:30:00,15,3,15
15235550,1,2026-04-19,18:30:00,15,3,15
15235550,1,2026-04-19,18:30:00,15,3,15
15235550,1,2026-04-19,18:30:00,15,3,15
15235550,1,2026-04-19,18:30:00,15,3,15
15235550,1,2026-04-19,18:30:00,15,3,3
15235550,1,2026-04-19,18:30:00,15,3,3
15235550,1,2026-04-19,18:30:00,15,3,3
15235521,1,2026-04-19,18:30:00,6,16,6
15235521,1,2026-04-19,18:30:00,6,16,16
15235519,1,2026-04-19,19:30:00,11,4,11
15235519,1,2026-04-19,19:30:00,11,4,11
15235519,1,2026-04-19,19:30:00,11,4,11
15235519,1,2026-04-19,19:30:00,11,4,11
15235519,1,2026-04-19,19:30:00,11,4,11
15235519,1,2026-04-19,19:30:00,11,4,11
15235519,1,2026-04-19,19:30:00,11,4,4
