id,active,hour,date,championship_id,team_id,opponent_id,code
15235526,1,18:30:00,2026-04-18,325,7,5,394c699e-8b3d-4cdb-b22e-15ecb21de6a3
15235520,1,18:30:00,2026-04-18,325,19,18,1bab77dd-d2a1-47e4-8fd7-43c5223c2c5d
15235525,1,20:00:00,2026-04-18,325,20,8,56854090-c6f1-4e7a-917a-d1b0d8799294
15235528,1,20:30:00,2026-04-18,325,10,1,c88449ee-eb56-42fe-9d4d-a47c4d1173d7
15235523,1,11:00:00,2026-04-19,325,13,14,a739fbfc-5543-4a82-9e07-bc10700fecab
15235524,1,16:00:00,2026-04-19,325,9,2,5f635de1-0047-46dc-bf2a-1c463d296faf
15235522,1,16:00:00,2026-04-19,325,17,12,48c8a422-1e1b-4cd8-9482-3fbd39d82163
15235550,1,18:30:00,2026-04-19,325,15,3,e55e7a88-a7ab-459c-a472-254f79d94dfb
15235521,1,18:30:00,2026-04-19,325,6,16,5e90824a-07f6-484a-9caf-b736f05fada6
15235519,1,19:30:00,2026-04-19,325,11,4,f91bcb9c-d892-4a72-904b-e5735803ae07
15235537,1,18:30:00,2026-04-25,325,4,17,b1e4df7e-d874-42a5-96ce-aecd9aab2981
15235529,1,18:30:00,2026-04-25,325,5,13,917a366c-1937-44fb-8512-f2ea868bcbdc
15235536,1,18:30:00,2026-04-25,325,16,10,68a9d8a7-c397-4153-b3b8-915b609d82f0
15235530,1,21:00:00,2026-04-25,325,18,14,43421a96-f4fb-404f-abed-6c72b8fd611e
15235531,1,16:00:00,2026-04-26,325,8,19,b8371b67-8f61-4d78-9d69-d78f424694ef
15235534,1,16:00:00,2026-04-26,325,1,9,9209da54-28fe-46ae-87a9-65197ab62e7f
15235535,1,18:30:00,2026-04-26,325,3,20,ceeec6f4-937d-4791-a1ce-0ac0ec5eef8e
15235532,1,18:30:00,2026-04-26,325,6,15,ee54bee2-e593-4b5c-975a-07eeafebe7f8
15235533,1,20:30:00,2026-04-26,325,2,11,b2d05003-dcc6-457c-9e70-4d59a263c26d
15235527,1,20:30:00,2026-04-26,325,12,7,9c04aab6-b7ce-4c19-b470-da524b4bcd94
